User ID,Gender,Age,Activity Level,Location,App Sessions,Distance Travelled (km),Calories Burned,Normalized_App_Sessions,Normalized_Distance_Travelled,Normalized_Calories_Burned,Normalized_activity_level,Composite_Index
1,Female,22,2,Suburban,151,140,728,0.6238937882923837,1.2912827797864301,1.5775919596395371,1.2376766978843543,1.1826113064006765
2,Male,50,2,Rural,157,115,523,0.7644441731353754,0.6109383828966618,0.4838352743738309,1.2376766978843543,0.7742236320725556
3,Male,36,2,Urban,178,163,795,1.2563705200858462,1.917199624925017,1.9350636567751582,1.2376766978843543,1.586577624917594
4,Female,36,2,Suburban,155,85,715,0.7175940448543782,-0.20547489337106015,1.5082317795982974,1.2376766978843543,0.8145069072414924
5,Male,34,0,Rural,95,71,439,-0.6879098035755383,-0.5864677556293304,0.03566180333812687,-1.236686952424231,-0.6188506770727432
6,Male,41,0,Suburban,80,60,197,-1.0392857656830174,-0.8858192902608284,-1.2555046251218775,-1.236686952424231,-1.1043241583724885
7,Female,45,0,Urban,68,43,309,-1.3203865353690007,-1.348453480145871,-0.6579399970742722,-1.236686952424231,-1.1408667412533438
8,Male,59,1,Urban,136,133,350,0.2725178261849046,1.1007863486572949,-0.439188660021131,0.0004948727300616625,0.23365259688778253
9,Female,54,0,Urban,87,50,336,-0.8753103166995271,-1.1579570490167357,-0.5138842385270816,-1.236686952424231,-0.9459596391668939
10,Female,39,2,Urban,187,135,702,1.4671960973503335,1.1552139004084765,1.4388715995570573,1.2376766978843543,1.3247395738000554
11,Male,56,2,Urban,179,171,833,1.2797955842263447,2.134909831929743,2.1378087984341674,1.2376766978843543,1.6975477281186524
12,Male,33,1,Suburban,107,77,415,-0.40680903388955497,-0.423185100375786,-0.09238775981493143,0.0004948727300616625,-0.23047175533755268
13,Female,52,0,Suburban,71,69,311,-1.2501113429475048,-0.6408953073805118,-0.6472692001448507,-1.236686952424231,-0.9437407007242746
14,Male,44,1,Rural,123,86,588,-0.03200800764157727,-0.1782611174954694,0.8306361745800305,0.0004948727300616625,0.15521548054326137
15,Female,29,1,Rural,101,88,341,-0.5473594187325467,-0.12383356574428796,-0.48720724620352784,0.0004948727300616625,-0.2894763394875752
16,Female,45,0,Urban,86,51,407,-0.8987353808400257,-1.130743273141145,-0.13507094753261753,-1.236686952424231,-0.8503091384845047
17,Female,18,1,Urban,102,94,291,-0.5239343545920481,0.03944908950925643,-0.7539771694390659,0.0004948727300616625,-0.30949189044794895
18,Female,56,0,Suburban,82,70,329,-0.9924356374020201,-0.6136815315049211,-0.551232027780057,-1.236686952424231,-0.8485090372778072
19,Female,35,0,Urban,92,47,386,-0.758184995997034,-1.239598376643508,-0.24711431529154354,-1.236686952424231,-0.870396160089079
20,Female,40,1,Urban,111,73,241,-0.31310877732756054,-0.532040203878149,-1.020747092674604,0.0004948727300616625,-0.46635030028756297
21,Male,39,2,Urban,158,121,757,0.787869237275874,0.7742210381502062,1.7323185151161493,1.2376766978843543,1.133021372106646
22,Female,21,0,Rural,67,50,173,-1.3438115995094992,-1.1579570490167357,-1.3835541882749358,-1.236686952424231,-1.2805024473063504
23,Male,28,2,Suburban,185,118,416,1.4203459690693363,0.692579710523434,-0.08705236135022065,1.2376766978843543,0.8158875040317259
24,Male,35,2,Rural,157,100,688,0.7644441731353754,0.20273174476280081,1.3641760210511067,1.2376766978843543,0.8922571592084093
25,Male,24,0,Urban,62,60,130,-1.4609369202119924,-0.8858192902608284,-1.6129763222574987,-1.236686952424231,-1.2991048712886375
26,Female,38,2,Urban,199,164,759,1.7482968670363168,1.9444134008006075,1.7429893120455708,1.2376766978843543,1.6683440694417124
27,Female,52,1,Rural,138,75,471,0.3193679544659018,-0.47761265212696746,0.20639455420887126,0.0004948727300616625,0.012161182319466822
28,Male,54,1,Rural,107,84,488,-0.40680903388955497,-0.23268866924665088,0.2970963281089542,0.0004948727300616625,-0.08547662557429751
29,Female,47,2,Suburban,161,136,715,0.8581444296973698,1.182427676284067,1.5082317795982974,1.2376766978843543,1.1966201458660222
30,Male,34,1,Urban,113,82,502,-0.2662586490465633,-0.28711622099783235,0.3717919066149049,0.0004948727300616625,-0.045272022674857276
31,Female,50,0,Urban,69,37,284,-1.296961471228502,-1.5117361353994152,-0.7913249586920412,-1.236686952424231,-1.2091773794360474
32,Female,33,0,Rural,78,45,219,-1.0861358939640147,-1.2940259283946893,-1.1381258588982408,-1.236686952424231,-1.188743658420294
33,Female,32,2,Suburban,182,162,652,1.3500707766478406,1.8899858490494261,1.1721016763215193,1.2376766978843543,1.412458749975785
34,Male,30,1,Suburban,124,94,273,-0.00858294350107866,0.03944908950925643,-0.8500143418038597,0.0004948727300616625,-0.20466333076640508
35,Male,56,2,Urban,185,102,682,1.4203459690693363,0.2571592965139823,1.3321636302628421,1.2376766978843543,1.0618363984326287
36,Male,20,1,Urban,132,75,544,0.1788175696229102,-0.47761265212696746,0.5958786421327569,0.0004948727300616625,0.07439460808969031
37,Female,41,0,Rural,81,43,218,-1.0158607015425187,-1.348453480145871,-1.1434612573629517,-1.236686952424231,-1.186115597868893
38,Female,40,1,Urban,138,102,361,0.3193679544659018,0.2571592965139823,-0.38049927690931257,0.0004948727300616625,0.0491307117001583
39,Male,18,1,Rural,112,109,274,-0.28968371318706193,0.4476557276431174,-0.844678943339149,0.0004948727300616625,-0.17155301403825796
40,Male,49,2,Urban,185,97,812,1.4203459690693363,0.12109041713602862,2.025765430675241,1.2376766978843543,1.20121962869124
41,Male,50,0,Urban,66,58,219,-1.367236663649998,-0.9402468420120099,-1.1381258588982408,-1.236686952424231,-1.17057407924612
42,Female,47,1,Urban,108,55,491,-0.38338396974905636,-1.021888169638782,0.31310252350308654,0.0004948727300616625,-0.2729186857886725
43,Male,19,0,Suburban,76,43,370,-1.1329860222450119,-1.348453480145871,-0.3324806907269157,-1.236686952424231,-1.0126517863855073
44,Female,35,1,Urban,123,75,556,-0.03200800764157727,-0.47761265212696746,0.659903423709286,0.0004948727300616625,0.037694409167700726
45,Female,47,0,Urban,97,80,395,-0.6410596752945411,-0.3415437727490138,-0.19909572910914666,-1.236686952424231,-0.6045965323942332
46,Male,35,1,Suburban,120,65,269,-0.1022832000630731,-0.7497504108828748,-0.8713559356627028,0.0004948727300616625,-0.4307236684696472
47,Female,22,0,Suburban,72,71,253,-1.2266862788070063,-0.5864677556293304,-0.9567223110980749,-1.236686952424231,-1.0016408244896606
48,Female,22,1,Urban,148,76,385,0.5536185958708879,-0.45039887625137676,-0.2524497137562543,0.0004948727300616625,-0.03718378035167037
49,Female,25,0,Suburban,83,70,375,-0.9690105732615215,-0.6136815315049211,-0.3058036984033619,-1.236686952424231,-0.7812956888985089
50,Female,26,1,Suburban,116,102,401,-0.19598345662506753,0.2571592965139823,-0.1670833383208821,0.0004948727300616625,-0.02635315642547642
51,Male,49,1,Suburban,120,113,327,-0.1022832000630731,0.5565108311454803,-0.5619028247094785,0.0004948727300616625,-0.02679508022425242
52,Female,31,0,Suburban,53,42,156,-1.6717624974764798,-1.3756672560214616,-1.4742559621750189,-1.236686952424231,-1.4395931670242978
53,Male,30,2,Rural,173,131,780,1.139245199383353,1.0463587969061134,1.8550326798044967,1.2376766978843543,1.3195783434945794
54,Female,35,1,Urban,134,86,603,0.22566769790390742,-0.1782611174954694,0.9106671515506919,0.0004948727300616625,0.2396421511722979
55,Male,21,1,Rural,130,82,414,0.131967441341913,-0.28711622099783235,-0.09772315827964219,0.0004948727300616625,-0.06309426630137498
56,Female,39,2,Urban,163,98,646,0.904994557978367,0.14830419301161935,1.1400892855332547,1.2376766978843543,0.8577661836018988
57,Male,37,1,Suburban,130,84,585,0.131967441341913,-0.23268866924665088,0.8146299791858982,0.0004948727300616625,0.17860090600280548
58,Female,32,0,Rural,94,47,334,-0.7113348677160368,-1.239598376643508,-0.5245550354565032,-1.236686952424231,-0.9280438080600697
59,Male,24,2,Suburban,188,120,431,1.4906211614908322,0.7470072622746154,-0.007021384379559225,1.2376766978843543,0.8670709343175607
60,Male,30,1,Suburban,115,70,455,-0.21940852076556613,-0.6136815315049211,0.12102817877349907,0.0004948727300616625,-0.17789175019173165
61,Male,51,0,Suburban,56,47,270,-1.601487305054984,-1.239598376643508,-0.866020537197992,-1.236686952424231,-1.2359482928301788
